date,prefecture,unleaded_95,unleaded_100,diesel_driving,autogas,prefecture_eng
09-09-2026,ΝΟΜΟΣ ΑΙΤΩΛΙΑΣ ΚΑΙ ΑΚΑΡΝΑΝΙΑΣ,2.123,2.373,2.086,0.996,ETOLOAKARNANIAS
09-09-2026,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,2.105,2.338,2.059,0.969,ARGOLIDAS
09-09-2026,ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ,2.107,2.361,2.068,1.012,ARKADIAS
09-09-2026,ΝΟΜΟΣ ΑΡΤΗΣ,2.101,2.334,2.05,0.927,ARTAS
09-09-2026,ΝΟΜΟΣ ΑΧΑΪΑΣ,2.097,2.354,2.071,0.956,ACHAIAS
09-09-2026,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,2.086,2.349,2.059,0.989,VIOTIAS
09-09-2026,ΝΟΜΟΣ ΓΡΕΒΕΝΩΝ,2.13,2.351,2.094,0.972,GREVENON
09-09-2026,ΝΟΜΟΣ ΔΡΑΜΑΣ,2.098,2.321,2.057,0.94,DRAMAS
09-09-2026,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,2.229,2.438,2.155,1.351,DODEKANISON
09-09-2026,ΝΟΜΟΣ ΕΒΡΟΥ,2.101,2.321,2.063,1.003,EVROU
09-09-2026,ΝΟΜΟΣ ΕΥΒΟΙΑΣ,2.119,2.35,2.091,1.004,EVVIAS
09-09-2026,ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ,2.19,2.47,2.158,1.102,EVRYTANIAS
09-09-2026,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,2.132,2.333,2.079,1.048,ZAKYNTHOU
09-09-2026,ΝΟΜΟΣ ΗΛΕΙΑΣ,2.091,2.314,2.044,0.923,ILIAS
09-09-2026,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,2.071,2.308,2.037,0.889,IMATHIAS
09-09-2026,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,2.14,2.325,2.109,1.124,IRAKLIOU
09-09-2026,ΝΟΜΟΣ ΘΕΣΠΡΩΤΙΑΣ,2.114,2.35,2.083,1.009,THESPROTIAS
09-09-2026,ΝΟΜΟΣ ΘΕΣΣΑΛΟΝΙΚΗΣ,2.094,2.337,2.059,0.917,THESSALONIKIS
09-09-2026,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,2.094,2.36,2.071,0.896,IOANNINON
09-09-2026,ΝΟΜΟΣ ΚΑΒΑΛΑΣ,2.116,2.356,2.069,0.977,KAVALAS
